Name;Path;Cmp;A/N;Description;MAK Status
ZMISAM;HFix_ZMISAM_CBR_C001713CBR002N;CBR;C001713CBR002N;"Migrating from v10 to v13 : 44101 - CBR-GAP1_1 Schnittstelle MobiMedia Tabellen
";test
ZMKBPA;HFix_ZMKBPA_CBR_C001914CBR001N;CBR;C001914CBR001N;Ticket 47037 CBR MKM 1: Marketingpauschalen;test
ZMKBPO;HFix_ZMKBPO_CBR_C001914CBR001N;CBR;C001914CBR001N;Ticket 47037 CBR MKM 1: Marketingpauschalen;test
ZMKBPOHead;mvx/app/pgm/customer;CBR;C001914CBR001N;Ticket 47037 CBR MKM 1: Marketingpauschalen;test
ZMKBPOLine;mvx/app/pgm/customer;CBR;C001914CBR001N;Ticket 47037 CBR MKM 1: Marketingpauschalen;test
ZMKERP;HFix_ZMKERP_CBR_C001902CBR001N;CBR;C001902CBR001N;Migration - Ticket No. 46018 - CBR-MKM: Creating Merchandising Packages & Items;test
ZMKERP;HFix_ZMKERP_CBR_C001902CBR002N;CBR;C001902CBR002N;46508 - Corrected edit code of date fields;test
ZMKERP;HFix_ZMKERP_CBR_C001902CBR004N;CBR;C001902CBR004N;Ticket No. 46508 - Changes in Erstbestuekung;test
ZMKERS;HFix_ZMKERS_CBR_C001902CBR001N;CBR;C001902CBR001N;Migration - Ticket No. 46018 - CBR-MKM: Creating Merchandising Packages & Items;test
ZMKERS;HFix_ZMKERS_CBR_C001902CBR002N;CBR;C001902CBR002N;46508 - Corrected edit code of date fields;test
ZMKERS;HFix_ZMKERS_CBR_C001902CBR004N;CBR;C001902CBR004N;Ticket No. 46508 - Changes in Erstbestuekung;test
ZMKPAA;HFix_ZMKPAA_CBR_C001902CBR001N;CBR;C001902CBR001N;Migration - Ticket No. 46018 - CBR-MKM: Creating Merchandising Packages & Items;test
ZMKPAA;HFix_ZMKPAA_CBR_C001902CBR004N;CBR;C001902CBR004N;Ticket No. 46508 - Changes in Erstbestuekung;test
ZMKPAK;HFix_ZMKPAK_CBR_C001902CBR001N;CBR;C001902CBR001N;Migration - Ticket No. 46018 - CBR-MKM: Creating Merchandising Packages & Items;test
ZMKPAK;HFix_ZMKPAK_CBR_C001902CBR004N;CBR;C001902CBR004N;Ticket No. 46508 - Changes in Erstbestuekung;test
ZMKPAU;HFix_ZMKPAU_CBR_C001914CBR001N;CBR;C001914CBR001N;Ticket 47037 CBR MKM 1: Marketingpauschalen;test
ZMKPCU;HFix_ZMKPCU_CBR_C001914CBR001N;CBR;C001914CBR001N;Ticket 47037 CBR MKM 1: Marketingpauschalen;test
ZMKPZA;HFix_ZMKPZA_CBR_C001914CBR001N;CBR;C001914CBR001N;Ticket 47037 CBR MKM 1: Marketingpauschalen;test
ZMMCOD;HFix_ZMMCOD_CBR_C002063CBR001N;CBR;C002063CBR001N;#103612 : GAP 01 - MobiMedia - Standardwerte für die Tabelle CODES;development
ZMMEXPS1;mvx/app/pgm/customer;CBR;C001860CBR001N;#45040 : GAP1_2 Schnittstelle MobiMedia M3 Export - Program driver (Chapter 1.4.2);development
ZMMEXPS2;mvx/app/pgm/customer;CBR;C002036CBR001N;#103036 GAP1_2 Schnittstelle MobiMedia M3 Export - Erweiterung Längen;development
ZMMEXPS2;mvx/app/pgm/customer;CBR;C002072CBR001N;#103752 — 01/11 SST: MobiMedia Export Erweiterungen;development
ZMMEXPS2;mvx/app/pgm/customer;CBR;T101917CBR001N;MobiMedia Export ZMMEXPS2 - Artikel (Chapter 1.4.3.) ;development
